a1	a2	a1_BL_ID	a2_BL_ID	totalCollabs	collaborated	distance	duration	a1_LAT	a1_LON	a2_LAT	a2_LON
1080	15649	7508	8141	1	1	1016	758	36.0033368637	-78.9359146357	36.009518555	-78.9416009188
1080	45508	7508	8141	3	1	1016	758	36.0033368637	-78.9359146357	36.009518555	-78.9416009188
1080	62399	7508	7516	9	1	1110	883	36.0033368637	-78.9359146357	36.0071644054	-78.9407479763
1080	83945	7508	7516	2	1	1110	883	36.0033368637	-78.9359146357	36.0071644054	-78.9407479763
1080	95795	7508	8141	1	1	1016	758	36.0033368637	-78.9359146357	36.009518555	-78.9416009188
1080	110490	7508	8141	3	1	1016	758	36.0033368637	-78.9359146357	36.009518555	-78.9416009188
1080	112702	7508	7516	1	1	1110	883	36.0033368637	-78.9359146357	36.0071644054	-78.9407479763
1080	115408	7508	7776	1	1	1016	819	36.0033368637	-78.9359146357	36.0044651833	-78.9419603348
1080	117595	7508	7576	1	1	1110	883	36.0033368637	-78.9359146357	36.0066631903	-78.9396455884
1080	120877	7508	8141	1	1	1016	758	36.0033368637	-78.9359146357	36.009518555	-78.9416009188
1080	170637	7508	8141	11	1	1016	758	36.0033368637	-78.9359146357	36.009518555	-78.9416009188
1080	217498	7508	7516	3	1	1110	883	36.0033368637	-78.9359146357	36.0071644054	-78.9407479763
1080	262588	7508	7516	1	1	1110	883	36.0033368637	-78.9359146357	36.0071644054	-78.9407479763
1080	301688	7508	8141	1	1	1016	758	36.0033368637	-78.9359146357	36.009518555	-78.9416009188
1080	304094	7508	7516	4	1	1110	883	36.0033368637	-78.9359146357	36.0071644054	-78.9407479763
1080	310084	7508	7738	1	1	1268	980	36.0033368637	-78.9359146357	36.0028464737	-78.9435267448
1080	398019	7508	7516	3	1	1110	883	36.0033368637	-78.9359146357	36.0071644054	-78.9407479763
1080	398588	7508	7548	1	1	709	543	36.0033368637	-78.9359146357	36.0074638311	-78.9365369081
1080	398770	7508	7548	1	1	709	543	36.0033368637	-78.9359146357	36.0074638311	-78.9365369081
1080	482966	7508	8141	1	1	1016	758	36.0033368637	-78.9359146357	36.009518555	-78.9416009188
1080	483165	7508	7516	1	1	1110	883	36.0033368637	-78.9359146357	36.0071644054	-78.9407479763
